Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-12-06 00:00:00-05:00,240.0,250.67999267578125,237.9600067138672,250.6300048828125,3950600,0.0,0.0
2018-12-07 00:00:00-05:00,248.38999938964844,249.25999450683594,237.64999389648438,238.0,3971100,0.0,0.0
2018-12-10 00:00:00-05:00,237.4600067138672,245.39999389648438,237.00999450683594,244.08999633789062,3194300,0.0,0.0
2018-12-11 00:00:00-05:00,251.42999267578125,251.75,242.77999877929688,245.33999633789062,3179400,0.0,0.0
2018-12-12 00:00:00-05:00,249.99000549316406,251.55999755859375,245.0399932861328,245.5500030517578,4067900,0.0,0.0
2018-12-13 00:00:00-05:00,248.14999389648438,251.60000610351562,245.1999969482422,248.0800018310547,5395200,0.0,0.0
2018-12-14 00:00:00-05:00,240.75999450683594,240.9199981689453,229.91000366210938,230.0,12189400,0.0,0.0
2018-12-17 00:00:00-05:00,226.92999267578125,230.6300048828125,220.47999572753906,221.3800048828125,7059500,0.0,0.0
2018-12-18 00:00:00-05:00,222.52999877929688,228.1300048828125,221.5500030517578,226.17999267578125,5265000,0.0,0.0
2018-12-19 00:00:00-05:00,225.9199981689453,231.02000427246094,221.11000061035156,224.64999389648438,6110800,0.0,0.0
2018-12-20 00:00:00-05:00,223.0,224.85000610351562,212.8300018310547,218.64999389648438,6099400,0.0,0.0
2018-12-21 00:00:00-05:00,219.5500030517578,222.25999450683594,207.3699951171875,208.8000030517578,8828100,0.0,0.0
2018-12-24 00:00:00-05:00,206.89999389648438,212.5800018310547,204.9499969482422,205.16000366210938,2940500,0.0,0.0
2018-12-26 00:00:00-05:00,206.52999877929688,222.9600067138672,206.25,222.9499969482422,5897900,0.0,0.0
2018-12-27 00:00:00-05:00,219.99000549316406,225.1699981689453,214.16000366210938,225.13999938964844,3931100,0.0,0.0
2018-12-28 00:00:00-05:00,227.5800018310547,228.11000061035156,220.8699951171875,223.1300048828125,3160200,0.0,0.0
